screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
MenschinDD,Menschin,188132003,5.56963E+17,/MenschinDD/status/556962714145525760,1/18/2015 23:53,1421625233,"RT @annalist: @ardde Warum sind keine Flüchtlinge bei #Jauch? Und Leute, die sich gegen Rassismus in #Sachsen engagieren?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">RT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15520241"" dir=""ltr"" href=""/annalist""><s>@</s><b>annalist</b></a>: <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""556842058"" dir=""ltr"" href=""/ARDde""><s>@</s><b>ardde</b></a> Warum sind keine <strong>Flüchtlinge</strong> bei <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Jauch?src=hash""><s>#</s><b>Jauch</b></a>? Und Leute, die sich gegen Rassismus in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sachsen?src=hash""><s>#</s><b>Sachsen</b></a> engagieren?</p>",[],"['Jauch', 'Sachsen']",False,[],,0,0,0,False,False,,[]
thistell,vr 42 young and clever,66698647,5.56962E+17,/thistell/status/556962078385532928,1/18/2015 23:51,1421625081,@LamorPolle Flüchtlinge? Da stimmts. Pegida ist aber dreigleisig: 1.Flüchtlinge 2. Islamisierung 3. Islamismus,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""11907382"" dir=""ltr"" href=""/LamorPolle""><s>@</s><b>LamorPolle</b></a> <strong>Flüchtlinge</strong>? Da stimmts. Pegida ist aber dreigleisig: 1.<strong>Flüchtlinge</strong> 2. Islamisierung 3. Islamismus</p>",[],[],False,[],,0,0,1,True,True,5.56958E+17,"[{'screen_name': 'LamorPolle', 'user_id': '11907382'}]"
stadtvernetzt,Stadtvernetzt-Berlin,761889469,5.56957E+17,/stadtvernetzt/status/556956873346543616,1/18/2015 23:30,1421623841,Beermannstraße: Kein Platz für Flüchtlinge an der Autobahn http://beermannstrasse.blogspot.com/2015/01/kein-platz-fur-fluchtlinge-der-autobahn.html …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Beermannstraße: Kein Platz für <strong>Flüchtlinge</strong> an der Autobahn <a class=""twitter-timeline-link"" data-expanded-url=""http://beermannstrasse.blogspot.com/2015/01/kein-platz-fur-fluchtlinge-der-autobahn.html"" dir=""ltr"" href=""http://t.co/izI4fwuzyC"" rel=""nofollow noopener"" target=""_blank"" title=""http://beermannstrasse.blogspot.com/2015/01/kein-platz-fur-fluchtlinge-der-autobahn.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">beermannstrasse.blogspot.com/2015/01/kein-p</span><span class=""invisible"">latz-fur-fluchtlinge-der-autobahn.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://beermannstrasse.blogspot.com/2015/01/kein-platz-fur-fluchtlinge-der-autobahn.html'],[],False,[],,0,1,0,False,False,,[]
aju100,Andreas Jung,44084672,5.56956E+17,/aju100/status/556956064475000832,1/18/2015 23:27,1421623648,#jauch: Diskussion über Islamisierung wie über Waldsterben: Über Köpfen der Betroffenen hinweg.Muslime und Flüchtlinge waren nicht geladen,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/jauch?src=hash""><s>#</s><b>jauch</b></a>: Diskussion über Islamisierung wie über Waldsterben: Über Köpfen der Betroffenen hinweg.Muslime und <strong>Flüchtlinge</strong> waren nicht geladen</p>",[],['jauch'],False,[],,0,0,0,False,False,,[]
tauss,Jörg Tauss,18219170,5.5695E+17,/tauss/status/556949958344327170,1/18/2015 23:03,1421622192,@thistell @LamorPolle Ja. Und Hitler war ganz dolle für Autobahnen. Und böse Flüchtlinge nehmen uns die direkte Demokratie weg.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""66698647"" dir=""ltr"" href=""/thistell""><s>@</s><b>thistell</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""11907382"" dir=""ltr"" href=""/LamorPolle""><s>@</s><b>LamorPolle</b></a> Ja. Und Hitler war ganz dolle für Autobahnen. Und böse <strong>Flüchtlinge</strong> nehmen uns die direkte Demokratie weg.</p>",[],[],False,[],,0,0,1,True,True,5.56924E+17,"[{'screen_name': 'thistell', 'user_id': '66698647'}]"
PorNoKratie,Jan Mica Rechlitz,18045390,5.5695E+17,/PorNoKratie/status/556949889956212737,1/18/2015 23:02,1421622176,"Bei #Jauch sprachen sie von interkulturellem Dialog, um Ängste & Vorurteile abzubauen. Teilnehmen dürften Migranten & Flüchtlinge aber nicht","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Bei <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Jauch?src=hash""><s>#</s><b>Jauch</b></a> sprachen sie von interkulturellem Dialog, um Ängste &amp; Vorurteile abzubauen. Teilnehmen dürften Migranten &amp; <strong>Flüchtlinge</strong> aber nicht</p>",[],['Jauch'],False,[],,1,0,0,False,False,,[]
wendt_joachim,wendt,345948869,5.56949E+17,/wendt_joachim/status/556948902482837504,1/18/2015 22:59,1421621940,"@punktohnekomma Rentner,Harz IV Empfänger, Grundsicherungsbezieher, müssen jedes Jahr GEZ Befreiung beantragen,Flüchtlinge nicht!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""309282892"" dir=""ltr"" href=""/punktohnekomma""><s>@</s><b>punktohnekomma</b></a> Rentner,Harz IV Empfänger, Grundsicherungsbezieher, müssen jedes Jahr GEZ Befreiung beantragen,<strong>Flüchtlinge</strong> nicht!</p>",[],[],False,[],,0,0,0,False,True,5.56922E+17,"[{'screen_name': 'punktohnekomma', 'user_id': '309282892'}]"
NebelHerbert,Herbert Nebel,2680232190,5.56947E+17,/NebelHerbert/status/556947220722110464,1/18/2015 22:52,1421621539,"@ThomasHitz 
Gestriges Benefiz-Spiel für Flüchtlinge: Union gegen Union in Berlin. Fußball kann auch anders ...
http://www.berliner-zeitung.de/union/1--fc-union-berlin-gegen-den-sc-union-06-union-setzt-ein-zeichen-fuer-fluechtlinge,10808802,29599864.ht","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2303999868"" dir=""ltr"" href=""/ThomasHitz""><s>@</s><b>ThomasHitz</b></a> 
Gestriges Benefiz-Spiel für <strong>Flüchtlinge</strong>: Union gegen Union in Berlin. Fußball kann auch anders ...
<a class=""twitter-timeline-link"" data-expanded-url=""http://www.berliner-zeitung.de/union/1--fc-union-berlin-gegen-den-sc-union-06-union-setzt-ein-zeichen-fuer-fluechtlinge,10808802,29599864.html"" dir=""ltr"" href=""http://t.co/1MzDkrJvvh"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.berliner-zeitung.de/union/1--fc-union-berlin-gegen-den-sc-union-06-union-setzt-ein-zeichen-fuer-fluechtlinge,10808802,29599864.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">berliner-zeitung.de/union/1--fc-un</span><span class=""invisible"">ion-berlin-gegen-den-sc-union-06-union-setzt-ein-zeichen-fuer-fluechtlinge,10808802,29599864.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['http://www.berliner-zeitung.de/union/1--fc-union-berlin-gegen-den-sc-union-06-union-setzt-ein-zeichen-fuer-fluechtlinge,10808802,29599864.html']",[],False,[],,0,0,0,False,False,,[]
simpsons3,Matthias Koster,21300984,5.56941E+17,/simpsons3/status/556941036468330496,1/18/2015 22:27,1421620065,@enavigo Das Problem ist: Flüchtlinge bringen keine 25.000 politisch verwirrten Menschen auf die Straße. @SchaengelPirat,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""431469216"" dir=""ltr"" href=""/enavigo""><s>@</s><b>enavigo</b></a> Das Problem ist: <strong>Flüchtlinge</strong> bringen keine 25.000 politisch verwirrten Menschen auf die Straße. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""377261179"" dir=""ltr"" href=""/SchaengelPirat""><s>@</s><b>SchaengelPirat</b></a></p>",[],[],False,[],,1,0,0,False,True,5.56932E+17,"[{'screen_name': 'enavigo', 'user_id': '431469216'}]"
ruufos,¯\_(ツ)_/¯,38723542,5.56941E+17,/ruufos/status/556940607768494082,1/18/2015 22:26,1421619963,"@TeamKenFM es war eine schande.! hätte mal fragen sollen warum es denn überhaupt flüchtlinge gibt. enttäuscht bin, und auch mal zur ard will","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2391765882"" dir=""ltr"" href=""/TeamKenFM""><s>@</s><b>TeamKenFM</b></a> es war eine schande.! hätte mal fragen sollen warum es denn überhaupt <strong>flüchtlinge</strong> gibt. enttäuscht bin, und auch mal zur ard will</p>",[],[],False,[],,0,0,0,False,True,5.5694E+17,"[{'screen_name': 'TeamKenFM', 'user_id': '2391765882'}]"
