screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
bluebird1304,Gerli Pi. 🇦🇹 ⚔️WWG1WGA Vienna,171816060,551525523860365313,/bluebird1304/status/551525523860365313,2015-01-03 23:48:26,1420328906,Der Kampf gegen die Islamisierung Europas hat begonnen  (HD): http://youtu.be/nU_MS1Gfe-s  via @YouTube,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Der Kampf gegen die <strong>Islamisierung</strong> Europas hat begonnen  (HD): <a class=""twitter-timeline-link"" data-expanded-url=""http://youtu.be/nU_MS1Gfe-s"" dir=""ltr"" href=""http://t.co/j1iuRdH8MO"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtu.be/nU_MS1Gfe-s""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtu.be/nU_MS1Gfe-s</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a></p>",['http://youtu.be/nU_MS1Gfe-s'],[],False,[],,0,0,0,False,False,,[]
DerSchoko,Der Schoko ©,1449951000,551521749503053824,/DerSchoko/status/551521749503053824,2015-01-03 23:33:26,1420328006,Auf der Suche nach Islamisierung. http://m.huffpost.com/de/entry/6406690 … #Pegida,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Auf der Suche nach <strong>Islamisierung</strong>. <a class=""twitter-timeline-link"" data-expanded-url=""http://m.huffpost.com/de/entry/6406690"" dir=""ltr"" href=""http://t.co/03puTupxpJ"" rel=""nofollow noopener"" target=""_blank"" title=""http://m.huffpost.com/de/entry/6406690""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">m.huffpost.com/de/entry/64066</span><span class=""invisible"">90</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Pegida?src=hash""><s>#</s><b>Pegida</b></a></p>",['http://m.huffpost.com/de/entry/6406690'],['Pegida'],False,[],,0,0,0,False,False,,[]
WanjaSeifert,Wanja Seifert,454101573,551520592122630144,/WanjaSeifert/status/551520592122630144,2015-01-03 23:28:50,1420327730,"Hab gerade die #Pegida-, #Rassismus- & #Islamisierung-s Debatte in der Verwandtschaft. Bin auf der Suche nach Hoffnung. Danke.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Hab gerade die <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Pegida?src=hash""><s>#</s><b>Pegida</b></a>-, <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Rassismus?src=hash""><s>#</s><b>Rassismus</b></a>- &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Islamisierung?src=hash""><s>#</s><b><strong>Islamisierung</strong></b></a>-s Debatte in der Verwandtschaft. Bin auf der Suche nach Hoffnung. Danke.</p>",[],"['Pegida', 'Rassismus', 'Islamisierung']",False,[],,1,0,1,True,False,,[]
exportco,Brigitta Vetter,188423692,551517859558727680,/exportco/status/551517859558727680,2015-01-03 23:17:59,1420327079,auch die Italienerinnen haben die Schnauze voll von der Islamisierung und den ständigen neuen Moscheen ... Frau... http://fb.me/3MVh5LaWa ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">auch die Italienerinnen haben die Schnauze voll von der <strong>Islamisierung</strong> und den ständigen neuen Moscheen ... Frau... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/3MVh5LaWa"" dir=""ltr"" href=""http://t.co/U2LXTAO1CT"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/3MVh5LaWa""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/3MVh5LaWa</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://fb.me/3MVh5LaWa'],[],False,[],,0,0,0,False,False,,[]
orfeudesantater,Orfeu de SantaTeresa,22162656,551513935736627200,/orfeudesantater/status/551513935736627200,2015-01-03 23:02:23,1420326143,Ich habe ein @YouTube-Video positiv bewertet: http://youtu.be/giyY8wYAtug?a  COMPACT 1/2015 - Merkel Multikulti contra PEGIDA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Ich habe ein <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a>-Video positiv bewertet: <a class=""twitter-timeline-link"" data-expanded-url=""http://youtu.be/giyY8wYAtug?a"" dir=""ltr"" href=""http://t.co/thpWlHckle"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtu.be/giyY8wYAtug?a""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtu.be/giyY8wYAtug?a</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> COMPACT 1/2015 - Merkel <strong>Multikulti</strong> contra PEGIDA</p>",['http://youtu.be/giyY8wYAtug?a'],[],False,[],,0,0,0,False,False,,[]
wenig_worte,wenig Worte,28804762,551510992472260608,/wenig_worte/status/551510992472260608,2015-01-03 22:50:41,1420325441,"@luggi07 Wieso weichen Sie aus von Islamisierung auf Terror? Niemand bestreitet, dass Extremisten Terroranschläge verüben können.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">@luggi07 Wieso weichen Sie aus von <strong>Islamisierung</strong> auf Terror? Niemand bestreitet, dass Extremisten Terroranschläge verüben können.</p>",[],[],False,[],,0,0,1,True,True,551501048670855170,"[{'screen_name': 'ludo7s', 'user_id': '49446718'}]"
JahnMichael,Michael Jahn,325181503,551510821885739011,/JahnMichael/status/551510821885739011,2015-01-03 22:50:01,1420325401,Mal wieder Gutmenschen - ein Ehepaar - kauft ein eigenes Schiff - rettet Flüchtlinge (illegale Einwanderer) vor... http://fb.me/7bXwKGPaX ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Mal wieder Gutmenschen - ein Ehepaar - kauft ein eigenes Schiff - rettet Flüchtlinge (<strong>illegale</strong> Einwanderer) vor... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/7bXwKGPaX"" dir=""ltr"" href=""http://t.co/e40K4zV9y1"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/7bXwKGPaX""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/7bXwKGPaX</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://fb.me/7bXwKGPaX'],[],False,[],,0,0,0,False,False,,[]
glocalistpress,GLOCALIST: Tages-Online-Zeitung für Innovation,39949647,551507224527245312,/glocalistpress/status/551507224527245312,2015-01-03 22:35:43,1420324543,Islamisierung Europas? Machen Sie einen Selbstversuch http://www.glocalist.com/2015/01/islamisierung-europas.html … #islam #europa #glocalist #pegida #spd #merkel,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><strong>Islamisierung</strong> Europas? Machen Sie einen Selbstversuch <a class=""twitter-timeline-link"" data-expanded-url=""http://www.glocalist.com/2015/01/islamisierung-europas.html"" dir=""ltr"" href=""http://t.co/spRvoMXXsV"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.glocalist.com/2015/01/islamisierung-europas.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">glocalist.com/2015/01/islami</span><span class=""invisible"">sierung-europas.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/islam?src=hash""><s>#</s><b>islam</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/europa?src=hash""><s>#</s><b>europa</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/glocalist?src=hash""><s>#</s><b>glocalist</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/pegida?src=hash""><s>#</s><b>pegida</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/spd?src=hash""><s>#</s><b>spd</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/merkel?src=hash""><s>#</s><b>merkel</b></a></p>",['http://www.glocalist.com/2015/01/islamisierung-europas.html'],"['islam', 'europa', 'glocalist', 'pegida', 'spd', 'merkel']",False,[],,1,1,0,False,False,,[]
mistercalippo,Philipp Lippo,2945601694,551506916732841985,/mistercalippo/status/551506916732841985,2015-01-03 22:34:30,1420324470,Rüdesheim gegen die Islamisierung des Abendlandes RüDIGA #pegida #afd #ruediga @janboehm,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Rüdesheim gegen die <strong>Islamisierung</strong> des Abendlandes RüDIGA <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/pegida?src=hash""><s>#</s><b>pegida</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/afd?src=hash""><s>#</s><b>afd</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ruediga?src=hash""><s>#</s><b>ruediga</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19072286"" dir=""ltr"" href=""/janboehm""><s>@</s><b>janboehm</b></a></p>",[],"['pegida', 'afd', 'ruediga']",False,[],,1,1,0,False,False,,[]
DocHubee,DocHubee,245301532,551502646175993856,/DocHubee/status/551502646175993856,2015-01-03 22:17:31,1420323451,Sekretär des emeritierten Papstes Georg Gänswein warnt vor Islamisierung Europas http://www.kathnews.de/sekretaer-des-emeritierten-papstes-warnt-vor-islamisierung-europas …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Sekretär des emeritierten Papstes Georg Gänswein warnt vor <strong>Islamisierung</strong> Europas <a class=""twitter-timeline-link"" data-expanded-url=""http://www.kathnews.de/sekretaer-des-emeritierten-papstes-warnt-vor-islamisierung-europas"" dir=""ltr"" href=""http://t.co/a7LZ9RYN0B"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.kathnews.de/sekretaer-des-emeritierten-papstes-warnt-vor-islamisierung-europas""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">kathnews.de/sekretaer-des-</span><span class=""invisible"">emeritierten-papstes-warnt-vor-islamisierung-europas</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://www.kathnews.de/sekretaer-des-emeritierten-papstes-warnt-vor-islamisierung-europas'],[],False,[],,0,1,0,False,False,,[]
