screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
die_Schoene,𝔓𝔯𝔢𝔲ß𝔢𝔫𝔰 𝔊𝔩𝔞𝔫𝔷 & 𝔊𝔩𝔬𝔯𝔦𝔞,91579685,662777898508689408,/die_Schoene/status/662777898508689408,2015-11-06 23:45:39,1446853539,ab 18 Jahre. Neger pimpert auf offener Strasse. Deutschland https://www.dropbox.com/s/6gpyyq9xfuta2q2/Neger%20fickt%20auf%20offener%20Strasse.mp4?dl=0 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">ab 18 Jahre. <strong>Neger</strong> pimpert auf offener Strasse. Deutschland <a class=""twitter-timeline-link"" data-expanded-url=""https://www.dropbox.com/s/6gpyyq9xfuta2q2/Neger%20fickt%20auf%20offener%20Strasse.mp4?dl=0"" dir=""ltr"" href=""https://t.co/VQyTmZpPkl"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.dropbox.com/s/6gpyyq9xfuta2q2/Neger%20fickt%20auf%20offener%20Strasse.mp4?dl=0""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">dropbox.com/s/6gpyyq9xfuta</span><span class=""invisible"">2q2/Neger%20fickt%20auf%20offener%20Strasse.mp4?dl=0</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.dropbox.com/s/6gpyyq9xfuta2q2/Neger%20fickt%20auf%20offener%20Strasse.mp4?dl=0'],[],False,[],,1,4,1,True,False,,[]
BWowbagger,Nutztier,271087898,662773852456529924,/BWowbagger/status/662773852456529924,2015-11-06 23:29:34,1446852574,"@SamaelFalkner Alkohol. Illegale Drogen. Ach, es ist mindestens zwei Elends.
https://twitter.com/Elquee/status/662750423095386112 …
Nehme an, Entscheidung schon gefällt?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""115460466"" dir=""ltr"" href=""/SamaelFalkner""><s>@</s><b>SamaelFalkner</b></a> Alkohol. <strong>Illegale</strong> Drogen. Ach, es ist mindestens zwei Elends.
<a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/Elquee/status/662750423095386112"" dir=""ltr"" href=""https://t.co/VMjb06oZjt"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Elquee/status/662750423095386112""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Elquee/status/</span><span class=""invisible"">662750423095386112</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>
Nehme an, Entscheidung schon gefällt?</p>",['https://twitter.com/Elquee/status/662750423095386112'],[],False,[],,0,0,1,True,True,662772119831486464,"[{'screen_name': 'SamaelFalkner', 'user_id': '115460466'}]"
fuckyeahsenpai,sary party,3302898905,662773631693385732,/fuckyeahsenpai/status/662773631693385732,2015-11-06 23:28:42,1446852522,ich habe voll die multikulti charaktere yo pic.twitter.com/jBTiyvkWJ0,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">ich habe voll die <strong>multikulti</strong> charaktere yo <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/jBTiyvkWJ0"">pic.twitter.com/jBTiyvkWJ0</a></p>",[],[],True,['https://pbs.twimg.com/media/CTKlCNLXIAA1bCH.jpg'],,0,0,0,False,False,,[]
optimist47,Sonnenseite,66067775,662772037358891009,/optimist47/status/662772037358891009,2015-11-06 23:22:22,1446852142,"Wütende Illegale in Offenbach: Keine Gebetsräume, kein Fladenbrot, kein WLAN, kein Geld - Netzplanet http://fb.me/5btH04fHv ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Wütende <strong>Illegale</strong> in Offenbach: Keine Gebetsräume, kein Fladenbrot, kein WLAN, kein Geld - Netzplanet <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/5btH04fHv"" dir=""ltr"" href=""https://t.co/JSAmUaT79O"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/5btH04fHv""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/5btH04fHv</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://fb.me/5btH04fHv'],[],False,[],,0,0,0,False,False,,[]
faultierkatze,"Hina, professional anarchist. 🏳️‍⚧️",17912131,662770614424481792,/faultierkatze/status/662770614424481792,2015-11-06 23:16:42,1446851802,"@c0c0bird Islamisierung!!1 Deutsches Internet zuerst für Deutsche!!
(ich weiß, zu wenig Rechtschreibfehler, um glaubhaft zu sein)","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""600469674"" dir=""ltr"" href=""/c0c0bird""><s>@</s><b>c0c0bird</b></a> <strong>Islamisierung</strong>!!1 Deutsches Internet zuerst für Deutsche!!
(ich weiß, zu wenig Rechtschreibfehler, um glaubhaft zu sein)</p>",[],[],False,[],,0,0,0,False,True,662754071703625728,"[{'screen_name': 'c0c0bird', 'user_id': '600469674'}]"
Schwarzbart500,Wodan Merry,98569704,662768503028645888,/Schwarzbart500/status/662768503028645888,2015-11-06 23:08:19,1446851299,"@faznet Und wer soll das bezahlen?Wer kümmert sich um einheimische Bedürftige? Mich kotzen Wohlstandsflüchtlinge an, verwöhnter Mob!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""18047862"" dir=""ltr"" href=""/faznet""><s>@</s><b>faznet</b></a> Und wer soll das bezahlen?Wer kümmert sich um einheimische Bedürftige? Mich kotzen <strong>Wohlstandsflüchtlinge</strong> an, verwöhnter Mob!</p>",[],[],False,[],,0,0,0,False,True,662579945286184960,"[{'screen_name': 'faznet', 'user_id': '18047862'}]"
die_Schoene,𝔓𝔯𝔢𝔲ß𝔢𝔫𝔰 𝔊𝔩𝔞𝔫𝔷 & 𝔊𝔩𝔬𝔯𝔦𝔞,91579685,662766383168667649,/die_Schoene/status/662766383168667649,2015-11-06 22:59:54,1446850794,"bei uns in Europa bald auch? Neger schlägt Busfahrer, dieser schlägt http://xn--zurck-mva.Manzurück.Man  Smacking A Bus Driver! https://youtu.be/MwAPll382Qo ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">bei uns in Europa bald auch? <strong>Neger</strong> schlägt Busfahrer, dieser schlägt <a class=""twitter-timeline-link"" data-expanded-url=""http://xn--zurck-mva.Man"" dir=""ltr"" href=""https://t.co/RbPreMTE2T"" rel=""nofollow noopener"" target=""_blank"" title=""http://xn--zurck-mva.Man""><span class=""tco-ellipsis""></span><span class=""invisible"">http://xn--zurck-mva.Man</span><span class=""js-display-url"">zurück.Man</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> Smacking A Bus Driver! <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/MwAPll382Qo"" dir=""ltr"" href=""https://t.co/4rWtW37LDG"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/MwAPll382Qo""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/MwAPll382Qo</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>","['http://xn--zurck-mva.Man', 'https://youtu.be/MwAPll382Qo']",[],False,[],,2,3,2,True,False,,[]
QST89,Sascha Quast,26090208,662765686339563520,/QST89/status/662765686339563520,2015-11-06 22:57:07,1446850627,@Bayer_Pitti vermute mal illegale Streams die durch höhere Klickzahlen mehr Geld durch Werbung haben wollen,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3369627615"" dir=""ltr"" href=""/Bayer_Pitti""><s>@</s><b>Bayer_Pitti</b></a> vermute mal <strong>illegale</strong> Streams die durch höhere Klickzahlen mehr Geld durch Werbung haben wollen</p>",[],[],False,[],,0,0,1,True,True,662759438307237888,"[{'screen_name': 'Bayer_Pitti', 'user_id': '3369627615'}]"
SZED38,Thaboi,245916707,662761855555903488,/SZED38/status/662761855555903488,2015-11-06 22:41:54,1446849714,@ScarlettZ2 hab dich noch nie so freundlich lachen sehn. Da waren doch illegale Substanzen im Spiel. Ganz klar.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3910170855"" dir=""ltr"" href=""/ScarlettZ2""><s>@</s><b>ScarlettZ2</b></a> hab dich noch nie so freundlich lachen sehn. Da waren doch <strong>illegale</strong> Substanzen im Spiel. Ganz klar.</p>",[],[],False,[],,0,0,1,True,True,656551096211611648,"[{'screen_name': 'ScarlettZ2', 'user_id': '3910170855'}]"
HrRoeder,Hendrik roeder,2862673287,662759342744170497,/HrRoeder/status/662759342744170497,2015-11-06 22:31:55,1446849115,@topdilopp Nein! aber was/wie willst du ändern! sollen alle wie die neger Leben? Und noch gibt's nicht die notwendigkeit Menschen zu töten,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1328541840"" dir=""ltr"" href=""/topdilopp""><s>@</s><b>topdilopp</b></a> Nein! aber was/wie willst du ändern! sollen alle wie die <strong>neger</strong> Leben? Und noch gibt's nicht die notwendigkeit Menschen zu töten</p>",[],[],False,[],,0,0,1,True,True,662661904251400192,"[{'screen_name': 'topdilopp', 'user_id': '1328541840'}]"
