screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
Horrimania,Horri Hassan,105721930,602987099109892096,/Horrimania/status/602987099109892096,2015-05-25 23:58:22,1432598302,"Malaysia migrant mass graves: police reveal 139 sites, some with multiple corpses http://ln.is/www.theguardian.com/d6CzA … @UniteBlue #Immigration","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Malaysia <strong>migrant</strong> mass graves: police reveal 139 sites, some with multiple corpses <a class=""twitter-timeline-link"" data-expanded-url=""http://ln.is/www.theguardian.com/d6CzA"" dir=""ltr"" href=""http://t.co/ZwanKfINLC"" rel=""nofollow noopener"" target=""_blank"" title=""http://ln.is/www.theguardian.com/d6CzA""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ln.is/www.theguardia</span><span class=""invisible"">n.com/d6CzA</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""360285166"" dir=""ltr"" href=""/UniteBlue""><s>@</s><b>UniteBlue</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Immigration?src=hash""><s>#</s><b>Immigration</b></a></p>",['http://ln.is/www.theguardian.com/d6CzA'],['Immigration'],False,[],,0,0,0,False,False,,[]
whyme2_07,whyme2_₀₇,525027828,602986412447768576,/whyme2_07/status/602986412447768576,2015-05-25 23:55:38,1432598138,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant proces…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> proces…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
whyme2_07,whyme2_₀₇,525027828,602986411227279360,/whyme2_07/status/602986411227279360,2015-05-25 23:55:38,1432598138,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant processing centre: T…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> processing centre: T…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
whyme2_07,whyme2_₀₇,525027828,602986256935591936,/whyme2_07/status/602986256935591936,2015-05-25 23:55:01,1432598101,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant proces…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> proces…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
MyCountry_07,My Country Malaysia,525022482,602985812331012096,/MyCountry_07/status/602985812331012096,2015-05-25 23:53:15,1432597995,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant proces…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> proces…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
u_scumbag,u_scumbag_07,1041811579,602985695972589570,/u_scumbag/status/602985695972589570,2015-05-25 23:52:47,1432597967,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant proces…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> proces…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
Gangsta_News,Gangsta News,1305796237,602985663915433984,/Gangsta_News/status/602985663915433984,2015-05-25 23:52:39,1432597959,"Boat rescued as migrant deal reached   http://j.mp/1ILm8GC 
#foreignmainstreamnews","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Boat rescued as <strong>migrant</strong> deal reached   <a class=""twitter-timeline-link"" data-expanded-url=""http://j.mp/1ILm8GC"" dir=""ltr"" href=""http://t.co/pv3chBz4cq"" rel=""nofollow noopener"" target=""_blank"" title=""http://j.mp/1ILm8GC""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">j.mp/1ILm8GC</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/foreignmainstreamnews?src=hash""><s>#</s><b>foreignmainstreamnews</b></a></p>",['http://j.mp/1ILm8GC'],['foreignmainstreamnews'],False,[],,0,0,0,False,False,,[]
leafyflower1,💧Lise1985💦,1260756078,602985372742594560,/leafyflower1/status/602985372742594560,2015-05-25 23:51:30,1432597890,"'Soul-destroying': one #migrant mother's story of life at #Dilley #detentioncenter
#texas #US
http://gu.com/p/495nf ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">'Soul-destroying': one <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/migrant?src=hash""><s>#</s><b><strong>migrant</strong></b></a> mother's story of life at <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Dilley?src=hash""><s>#</s><b>Dilley</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/detentioncenter?src=hash""><s>#</s><b>detentioncenter</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/texas?src=hash""><s>#</s><b>texas</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/US?src=hash""><s>#</s><b>US</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://gu.com/p/495nf"" dir=""ltr"" href=""http://t.co/2ijyiEcDxv"" rel=""nofollow noopener"" target=""_blank"" title=""http://gu.com/p/495nf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">gu.com/p/495nf</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://gu.com/p/495nf'],"['migrant', 'Dilley', 'detentioncenter', 'texas', 'US']",False,[],,0,0,0,False,False,,[]
actwisez,actwisez,525093946,602985323505803265,/actwisez/status/602985323505803265,2015-05-25 23:51:18,1432597878,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant proces…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> proces…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
jacklim76_07,jacklim76,525093440,602985288831479808,/jacklim76_07/status/602985288831479808,2015-05-25 23:51:10,1432597870,#ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #ChangePenang #RMK11 Thai PM deploys carrier to act as migrant proces…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ChangePenang?src=hash""><s>#</s><b>ChangePenang</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/RMK11?src=hash""><s>#</s><b>RMK11</b></a> Thai PM deploys carrier to act as <strong>migrant</strong> proces…</p>",[],"['ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'ChangePenang', 'RMK11']",False,[],,0,0,0,False,False,,[]
